Issue Key,Summary,Xray Status,Laeufe,Alle Ergebnisse,Letzte Ausfuehrung,Letztes Datum
KAN-757,E6-07 Verkaufsangebot speichern - Angebot einreichen,PASSED,1,PASSED,KAN-899,2026-08-14T18:57:35.769Z
KAN-758,E6-07 Verkaufsangebot speichern - Ungültige und fremde Daten,PASSED,1,PASSED,KAN-899,2026-08-14T18:57:00.819Z
KAN-759,E6-07 Verkaufsangebot speichern - Angebotsstatus und Auszahlung,FAILED,1,FAILED,KAN-899,2026-08-14T18:56:17.082Z
KAN-760,E6-08 Angebotsstatus verfolgen - Angebot einreichen,PASSED,1,PASSED,KAN-899,2026-08-14T18:55:40.716Z
KAN-761,E6-08 Angebotsstatus verfolgen - Ungültige und fremde Daten,PASSED,1,PASSED,KAN-899,2026-08-14T18:54:58.522Z
KAN-762,E6-08 Angebotsstatus verfolgen - Angebotsstatus und Auszahlung,FAILED,1,FAILED,KAN-899,2026-08-14T18:54:21.146Z
KAN-763,E6-09 Verkaufsangebote prüfen - Angebot einreichen,PASSED,1,PASSED,KAN-899,2026-08-14T18:53:41.088Z
KAN-764,E6-09 Verkaufsangebote prüfen - Ungültige und fremde Daten,PASSED,1,PASSED,KAN-899,2026-08-14T18:53:04.151Z
KAN-765,E6-09 Verkaufsangebote prüfen - Angebotsstatus und Auszahlung,FAILED,1,FAILED,KAN-899,2026-08-14T18:52:24.253Z
KAN-766,E6-10 Angebot unterbreiten - Angebot einreichen,PASSED,1,PASSED,KAN-899,2026-08-14T18:51:47.312Z
KAN-767,E6-10 Angebot unterbreiten - Ungültige und fremde Daten,PASSED,1,PASSED,KAN-899,2026-08-14T18:51:04.767Z
KAN-768,E6-10 Angebot unterbreiten - Angebotsstatus und Auszahlung,FAILED,1,FAILED,KAN-899,2026-08-14T18:50:15.254Z
KAN-769,E6-11 Angebot annehmen oder ablehnen - Angebot einreichen,PASSED,1,PASSED,KAN-899,2026-08-14T18:46:23.305Z
KAN-770,E6-11 Angebot annehmen oder ablehnen - Ungültige und fremde Daten,PASSED,1,PASSED,KAN-899,2026-08-14T18:45:36.184Z
KAN-771,E6-11 Angebot annehmen oder ablehnen - Angebotsstatus und Auszahlung,FAILED,1,FAILED,KAN-899,2026-08-14T18:44:13.386Z
KAN-772,E6-12 Übergabe und Auszahlung verstehen - Angebot einreichen,PASSED,1,PASSED,KAN-899,2026-08-14T18:43:41.802Z
KAN-773,E6-12 Übergabe und Auszahlung verstehen - Ungültige und fremde Daten,PASSED,1,PASSED,KAN-899,2026-08-14T18:43:02.685Z
KAN-774,E6-12 Übergabe und Auszahlung verstehen - Angebotsstatus und Auszahlung,FAILED,1,FAILED,KAN-899,2026-08-14T18:41:45.234Z
KAN-775,E7-01 Adminbereich sicher anmelden - Admin-Operation erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-14T18:41:06.607Z
KAN-776,E7-01 Adminbereich sicher anmelden - Rolle und Risikoaktion,PASSED,1,PASSED,KAN-899,2026-08-14T18:39:08.815Z
KAN-777,E7-01 Adminbereich sicher anmelden - Synchronisation und Fehler,FAILED,1,FAILED,KAN-899,2026-08-14T18:37:39.912Z
KAN-778,E7-02 Rollen und Berechtigungen verwalten - Admin-Operation erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-14T18:37:04.666Z
KAN-779,E7-02 Rollen und Berechtigungen verwalten - Rolle und Risikoaktion,PASSED,1,PASSED,KAN-899,2026-08-14T18:36:14.515Z
KAN-780,E7-02 Rollen und Berechtigungen verwalten - Synchronisation und Fehler,FAILED,1,FAILED,KAN-899,2026-08-14T18:34:28.740Z
KAN-781,E7-03 Admin-Dashboard anzeigen - Admin-Operation erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-14T18:33:23.175Z
KAN-782,E7-03 Admin-Dashboard anzeigen - Rolle und Risikoaktion,PASSED,1,PASSED,KAN-899,2026-08-14T18:32:22.099Z
KAN-783,E7-03 Admin-Dashboard anzeigen - Synchronisation und Fehler,FAILED,1,FAILED,KAN-899,2026-08-14T18:31:33.608Z
KAN-784,E7-04 Produkte administrieren - Admin-Operation erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-14T18:31:01.846Z
KAN-785,E7-04 Produkte administrieren - Rolle und Risikoaktion,PASSED,1,PASSED,KAN-899,2026-08-14T18:30:26.348Z
KAN-786,E7-04 Produkte administrieren - Synchronisation und Fehler,FAILED,1,FAILED,KAN-899,2026-08-14T18:29:40.068Z
KAN-787,E7-05 Produktbilder administrieren - Admin-Operation erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-14T18:28:36.961Z
KAN-788,E7-05 Produktbilder administrieren - Rolle und Risikoaktion,PASSED,1,PASSED,KAN-899,2026-08-14T18:26:17.426Z
KAN-789,E7-05 Produktbilder administrieren - Synchronisation und Fehler,FAILED,1,FAILED,KAN-899,2026-08-14T18:25:13.645Z
KAN-790,E7-06 Bestände korrigieren - Admin-Operation erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-14T18:17:59.386Z
KAN-791,E7-06 Bestände korrigieren - Rolle und Risikoaktion,PASSED,1,PASSED,KAN-899,2026-08-14T18:17:26.297Z
KAN-792,E7-06 Bestände korrigieren - Synchronisation und Fehler,FAILED,1,FAILED,KAN-899,2026-08-14T18:16:55.230Z
KAN-793,E7-07 Bestellungen administrieren - Admin-Operation erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-14T18:16:21.833Z
KAN-794,E7-07 Bestellungen administrieren - Rolle und Risikoaktion,PASSED,1,PASSED,KAN-899,2026-08-14T18:15:51.283Z
KAN-795,E7-07 Bestellungen administrieren - Synchronisation und Fehler,FAILED,1,FAILED,KAN-899,2026-08-14T18:15:17.087Z
KAN-796,E7-08 Kundenkonten administrieren - Admin-Operation erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-14T18:14:48.590Z
KAN-797,E7-08 Kundenkonten administrieren - Rolle und Risikoaktion,PASSED,1,PASSED,KAN-899,2026-08-14T18:14:15.485Z
KAN-798,E7-08 Kundenkonten administrieren - Synchronisation und Fehler,FAILED,1,FAILED,KAN-899,2026-08-14T18:13:44.849Z
KAN-799,E7-09 Verkaufsangebote administrieren - Admin-Operation erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-14T18:13:11.052Z
KAN-800,E7-09 Verkaufsangebote administrieren - Rolle und Risikoaktion,PASSED,1,PASSED,KAN-899,2026-08-14T18:12:40.382Z
KAN-801,E7-09 Verkaufsangebote administrieren - Synchronisation und Fehler,FAILED,1,FAILED,KAN-899,2026-08-14T18:11:52.812Z
KAN-802,E7-10 Katalogstammdaten verwalten - Admin-Operation erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-14T18:11:15.854Z
KAN-803,E7-10 Katalogstammdaten verwalten - Rolle und Risikoaktion,PASSED,1,PASSED,KAN-899,2026-08-14T18:10:42.163Z
KAN-804,E7-10 Katalogstammdaten verwalten - Synchronisation und Fehler,FAILED,1,FAILED,KAN-899,2026-08-14T18:10:11.680Z
KAN-805,E7-11 Datenquellen synchronisieren - Admin-Operation erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-14T18:09:36.754Z
KAN-806,E7-11 Datenquellen synchronisieren - Rolle und Risikoaktion,PASSED,1,PASSED,KAN-899,2026-08-14T18:08:51.312Z
KAN-807,E7-11 Datenquellen synchronisieren - Synchronisation und Fehler,FAILED,1,FAILED,KAN-899,2026-08-14T18:08:01.975Z
KAN-808,E7-12 Synchronisationsfehler beheben - Admin-Operation erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-14T18:07:18.520Z
KAN-809,E7-12 Synchronisationsfehler beheben - Rolle und Risikoaktion,PASSED,1,PASSED,KAN-899,2026-08-14T18:06:44.593Z
KAN-810,E7-12 Synchronisationsfehler beheben - Synchronisation und Fehler,FAILED,1,FAILED,KAN-899,2026-08-14T18:06:07.230Z
KAN-811,E7-13 Änderungen nachvollziehen - Admin-Operation erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-14T18:05:27.080Z
KAN-812,E7-13 Änderungen nachvollziehen - Rolle und Risikoaktion,PASSED,1,PASSED,KAN-899,2026-08-14T18:04:49.221Z
KAN-813,E7-13 Änderungen nachvollziehen - Synchronisation und Fehler,FAILED,1,FAILED,KAN-899,2026-08-14T18:04:01.580Z
KAN-814,E8-01 Hauptnavigation verstehen - Visueller Standardpfad,PASSED,1,PASSED,KAN-899,2026-08-14T06:52:22.088Z
KAN-815,E8-01 Hauptnavigation verstehen - Zustände und Formulare,PASSED,1,PASSED,KAN-899,2026-08-14T18:03:23.780Z
KAN-816,E8-01 Hauptnavigation verstehen - Accessibility und Auflösung,FAILED,1,FAILED,KAN-899,2026-08-14T18:02:43.638Z
KAN-817,E8-02 Globale Shop-Navigation nutzen - Visueller Standardpfad,PASSED,1,PASSED,KAN-899,2026-08-14T07:02:43.073Z
KAN-818,E8-02 Globale Shop-Navigation nutzen - Zustände und Formulare,PASSED,1,PASSED,KAN-899,2026-08-14T18:02:06.569Z
KAN-819,E8-02 Globale Shop-Navigation nutzen - Accessibility und Auflösung,FAILED,1,FAILED,KAN-899,2026-08-14T18:01:32.848Z
KAN-820,E8-03 Einheitliches Design erleben - Visueller Standardpfad,PASSED,1,PASSED,KAN-899,2026-08-15T08:35:52.009Z
KAN-821,E8-03 Einheitliches Design erleben - Zustände und Formulare,PASSED,1,PASSED,KAN-899,2026-08-14T18:01:01.492Z
KAN-822,E8-03 Einheitliches Design erleben - Accessibility und Auflösung,FAILED,1,FAILED,KAN-899,2026-08-14T18:00:18.756Z
KAN-823,E8-04 Produktlisten übersichtlich sehen - Visueller Standardpfad,PASSED,1,PASSED,KAN-899,2026-08-14T07:03:10.683Z
KAN-824,E8-04 Produktlisten übersichtlich sehen - Zustände und Formulare,PASSED,1,PASSED,KAN-899,2026-08-14T17:59:43.570Z
KAN-825,E8-04 Produktlisten übersichtlich sehen - Accessibility und Auflösung,FAILED,1,FAILED,KAN-899,2026-08-14T17:59:08.720Z
KAN-826,E8-05 Produktdetails übersichtlich sehen - Visueller Standardpfad,PASSED,1,PASSED,KAN-899,2026-08-14T06:55:55.881Z
KAN-827,E8-05 Produktdetails übersichtlich sehen - Zustände und Formulare,PASSED,1,PASSED,KAN-899,2026-08-14T17:58:37.762Z
KAN-828,E8-05 Produktdetails übersichtlich sehen - Accessibility und Auflösung,FAILED,1,FAILED,KAN-899,2026-08-14T17:58:02.970Z
KAN-829,E8-06 Shop responsiv nutzen - Visueller Standardpfad,PASSED,1,PASSED,KAN-899,2026-08-15T08:36:43.277Z
KAN-830,E8-06 Shop responsiv nutzen - Zustände und Formulare,PASSED,1,PASSED,KAN-899,2026-08-14T17:57:32.649Z
KAN-831,E8-06 Shop responsiv nutzen - Accessibility und Auflösung,FAILED,1,FAILED,KAN-899,2026-08-14T17:56:57.451Z
KAN-832,E8-07 Konsistente Formulare nutzen - Visueller Standardpfad,PASSED,1,PASSED,KAN-899,2026-08-14T06:56:35.173Z
KAN-833,E8-07 Konsistente Formulare nutzen - Zustände und Formulare,PASSED,1,PASSED,KAN-899,2026-08-14T17:56:26.534Z
KAN-834,E8-07 Konsistente Formulare nutzen - Accessibility und Auflösung,FAILED,1,FAILED,KAN-899,2026-08-14T17:54:47.243Z
KAN-835,E8-08 Ladezustände erkennen - Visueller Standardpfad,PASSED,1,PASSED,KAN-899,2026-08-14T06:53:59.306Z
KAN-836,E8-08 Ladezustände erkennen - Zustände und Formulare,PASSED,1,PASSED,KAN-899,2026-08-14T17:54:04.498Z
KAN-837,E8-08 Ladezustände erkennen - Accessibility und Auflösung,FAILED,1,FAILED,KAN-899,2026-08-14T17:49:56.519Z
KAN-838,E8-09 Fehler- und Leerzustände verstehen - Visueller Standardpfad,PASSED,1,PASSED,KAN-899,2026-08-14T17:39:49.143Z
KAN-839,E8-09 Fehler- und Leerzustände verstehen - Zustände und Formulare,PASSED,1,PASSED,KAN-899,2026-08-14T17:39:18.087Z
KAN-840,E8-09 Fehler- und Leerzustände verstehen - Accessibility und Auflösung,FAILED,1,FAILED,KAN-899,2026-08-14T17:38:43.508Z
KAN-841,E8-10 Shop per Tastatur bedienen - Visueller Standardpfad,EXECUTING,1,EXECUTING,KAN-899,2026-08-14T06:54:15.868Z
KAN-842,E8-10 Shop per Tastatur bedienen - Zustände und Formulare,PASSED,1,PASSED,KAN-899,2026-08-14T17:37:03.385Z
KAN-843,E8-10 Shop per Tastatur bedienen - Accessibility und Auflösung,FAILED,1,FAILED,KAN-899,2026-08-14T17:36:31.856Z
KAN-844,E8-11 Shop mit Screenreader nutzen - Visueller Standardpfad,PASSED,1,PASSED,KAN-899,2026-08-14T17:35:56.290Z
KAN-845,E8-11 Shop mit Screenreader nutzen - Zustände und Formulare,PASSED,1,PASSED,KAN-899,2026-08-14T17:35:12.444Z
KAN-846,E8-11 Shop mit Screenreader nutzen - Accessibility und Auflösung,FAILED,1,FAILED,KAN-899,2026-08-14T17:34:38.959Z
KAN-847,E8-12 Fokus- und Aktivzustände sehen - Visueller Standardpfad,PASSED,1,PASSED,KAN-899,2026-08-14T17:34:01.399Z
KAN-848,E8-12 Fokus- und Aktivzustände sehen - Zustände und Formulare,PASSED,1,PASSED,KAN-899,2026-08-14T17:48:31.610Z
KAN-849,E8-12 Fokus- und Aktivzustände sehen - Accessibility und Auflösung,FAILED,1,FAILED,KAN-899,2026-08-14T17:33:02.339Z
KAN-850,E8-13 Optimierte Produktbilder erhalten - Visueller Standardpfad,PASSED,1,PASSED,KAN-899,2026-08-14T17:30:40.055Z
KAN-851,E8-13 Optimierte Produktbilder erhalten - Zustände und Formulare,PASSED,1,PASSED,KAN-899,2026-08-14T17:29:55.229Z
KAN-852,E8-13 Optimierte Produktbilder erhalten - Accessibility und Auflösung,FAILED,1,FAILED,KAN-899,2026-08-14T17:29:15.024Z
KAN-853,E8-14 Auflösungsunabhängiges Design erleben - Visueller Standardpfad,PASSED,1,PASSED,KAN-899,2026-08-14T17:28:37.796Z
KAN-854,E8-14 Auflösungsunabhängiges Design erleben - Zustände und Formulare,PASSED,1,PASSED,KAN-899,2026-08-14T17:28:04.056Z
KAN-855,E8-14 Auflösungsunabhängiges Design erleben - Accessibility und Auflösung,FAILED,1,FAILED,KAN-899,2026-08-14T17:27:33.048Z
KAN-856,E9-01 Akzeptanzkriterien vereinheitlichen - Testfall ausführbar,PASSED,1,PASSED,KAN-899,2026-08-14T17:26:52.151Z
KAN-857,E9-01 Akzeptanzkriterien vereinheitlichen - Traceability und Abdeckung,PASSED,1,PASSED,KAN-899,2026-08-14T17:26:14.913Z
KAN-858,E9-01 Akzeptanzkriterien vereinheitlichen - Fehler und Regression,FAILED,1,FAILED,KAN-899,2026-08-14T17:25:40.957Z
KAN-859,E9-02 Xray-Testrepository strukturieren - Testfall ausführbar,PASSED,1,PASSED,KAN-899,2026-08-14T17:25:09.496Z
KAN-860,E9-02 Xray-Testrepository strukturieren - Traceability und Abdeckung,PASSED,1,PASSED,KAN-899,2026-08-14T17:24:35.270Z
KAN-861,E9-02 Xray-Testrepository strukturieren - Fehler und Regression,FAILED,1,FAILED,KAN-899,2026-08-14T17:23:57.784Z
KAN-862,E9-03 Testfall-Template verwenden - Testfall ausführbar,PASSED,1,PASSED,KAN-899,2026-08-14T17:23:19.310Z
KAN-863,E9-03 Testfall-Template verwenden - Traceability und Abdeckung,PASSED,1,PASSED,KAN-899,2026-08-14T17:22:40.217Z
KAN-864,E9-03 Testfall-Template verwenden - Fehler und Regression,FAILED,1,FAILED,KAN-899,2026-08-14T17:20:54.504Z
KAN-865,E9-04 Testvorbedingungen definieren - Testfall ausführbar,PASSED,1,PASSED,KAN-899,2026-08-14T17:21:36.375Z
KAN-866,E9-04 Testvorbedingungen definieren - Traceability und Abdeckung,PASSED,1,PASSED,KAN-899,2026-08-14T17:20:13.331Z
KAN-867,E9-04 Testvorbedingungen definieren - Fehler und Regression,FAILED,1,FAILED,KAN-899,2026-08-14T17:19:41.132Z
KAN-868,E9-05 Tests zu Test Sets bündeln - Testfall ausführbar,PASSED,1,PASSED,KAN-899,2026-08-14T17:10:01.129Z
KAN-869,E9-05 Tests zu Test Sets bündeln - Traceability und Abdeckung,FAILED,1,FAILED,KAN-899,2026-08-14T17:09:31.072Z
KAN-870,E9-05 Tests zu Test Sets bündeln - Fehler und Regression,FAILED,1,FAILED,KAN-899,2026-08-14T17:09:03.329Z
KAN-871,E9-06 Testpläne für Releases erstellen - Testfall ausführbar,PASSED,1,PASSED,KAN-899,2026-08-14T17:08:33.755Z
KAN-872,E9-06 Testpläne für Releases erstellen - Traceability und Abdeckung,FAILED,1,FAILED,KAN-899,2026-08-14T17:08:06.630Z
KAN-873,E9-06 Testpläne für Releases erstellen - Fehler und Regression,FAILED,1,FAILED,KAN-899,2026-08-14T17:07:35.540Z
KAN-874,E9-07 Testausführungen starten - Testfall ausführbar,PASSED,1,PASSED,KAN-899,2026-08-14T17:07:08.183Z
KAN-875,E9-07 Testausführungen starten - Traceability und Abdeckung,PASSED,1,PASSED,KAN-899,2026-08-14T17:06:39.164Z
KAN-876,E9-07 Testausführungen starten - Fehler und Regression,FAILED,1,FAILED,KAN-899,2026-08-14T17:06:13.370Z
KAN-877,E9-08 Tests mit Stories verknüpfen - Testfall ausführbar,PASSED,1,PASSED,KAN-899,2026-08-14T17:05:42.824Z
KAN-878,E9-08 Tests mit Stories verknüpfen - Traceability und Abdeckung,PASSED,1,PASSED,KAN-899,2026-08-14T17:05:16.771Z
KAN-879,E9-08 Tests mit Stories verknüpfen - Fehler und Regression,FAILED,1,FAILED,KAN-899,2026-08-14T17:04:47.160Z
KAN-880,E9-09 Regressionstestsuite pflegen - Testfall ausführbar,PASSED,1,PASSED,KAN-899,2026-08-14T17:04:21.084Z
KAN-881,E9-09 Regressionstestsuite pflegen - Traceability und Abdeckung,PASSED,1,PASSED,KAN-899,2026-08-14T17:03:51.710Z
KAN-882,E9-09 Regressionstestsuite pflegen - Fehler und Regression,FAILED,1,FAILED,KAN-899,2026-08-14T17:03:25.531Z
KAN-883,E9-10 Browser- und Gerätetests durchführen - Testfall ausführbar,PASSED,1,PASSED,KAN-899,2026-08-14T17:02:57.116Z
KAN-884,E9-10 Browser- und Gerätetests durchführen - Traceability und Abdeckung,PASSED,1,PASSED,KAN-899,2026-08-14T17:02:31.431Z
KAN-885,E9-10 Browser- und Gerätetests durchführen - Fehler und Regression,FAILED,1,FAILED,KAN-899,2026-08-14T17:02:00.727Z
KAN-886,E9-11 Testergebnisse dokumentieren - Testfall ausführbar,PASSED,1,PASSED,KAN-899,2026-08-14T17:01:34.132Z
KAN-887,E9-11 Testergebnisse dokumentieren - Traceability und Abdeckung,PASSED,1,PASSED,KAN-899,2026-08-14T17:01:04.303Z
KAN-888,E9-11 Testergebnisse dokumentieren - Fehler und Regression,FAILED,1,FAILED,KAN-899,2026-08-14T17:00:38.064Z
KAN-889,E9-12 Fehler aus Tests erfassen - Testfall ausführbar,PASSED,1,PASSED,KAN-899,2026-08-14T16:58:37.608Z
KAN-890,E9-12 Fehler aus Tests erfassen - Traceability und Abdeckung,PASSED,1,PASSED,KAN-899,2026-08-14T16:58:11.931Z
KAN-891,E9-12 Fehler aus Tests erfassen - Fehler und Regression,FAILED,1,FAILED,KAN-899,2026-08-14T16:57:35.187Z
KAN-892,E9-13 Testabdeckung sehen - Testfall ausführbar,PASSED,1,PASSED,KAN-899,2026-08-14T16:57:09.375Z
KAN-893,E9-13 Testabdeckung sehen - Traceability und Abdeckung,PASSED,1,PASSED,KAN-899,2026-08-14T16:56:37.487Z
KAN-894,E9-13 Testabdeckung sehen - Fehler und Regression,FAILED,1,FAILED,KAN-899,2026-08-14T16:56:11.587Z
KAN-895,E9-14 Release-Abnahmekriterien definieren - Testfall ausführbar,PASSED,1,PASSED,KAN-899,2026-08-14T16:54:19.935Z
KAN-896,E9-14 Release-Abnahmekriterien definieren - Traceability und Abdeckung,PASSED,1,PASSED,KAN-899,2026-08-14T16:55:41.149Z
KAN-897,E9-14 Release-Abnahmekriterien definieren - Fehler und Regression,PASSED,1,PASSED,KAN-899,2026-08-15T16:32:45.096Z
