Issue Key,Work type,Summary,Description,Priority,Epic
KAN-44,Story,E3-11 Bestellung vor dem Kauf prüfen,"Als Kunde möchte ich vor dem Kauf alle Bestelldaten prüfen.

Akzeptanzkriterien
1. Der Warenkorb beziehungsweise Checkout hält Mengen, Preise und Verfügbarkeit über alle relevanten Schritte konsistent.
2. Jede Änderung aktualisiert Zwischensummen, Versandkosten und Gesamtbetrag nachvollziehbar.
3. Nicht verfügbare oder zwischenzeitlich geänderte Artikel werden vor dem Kauf erkannt und sicher behandelt.
4. Gast- und Kundenkonto-Flows verwenden dieselben fachlichen Preis-, Bestands- und Validierungsregeln.
5. Adress-, Versand- und Formulareingaben werden feldgenau validiert und verständlich erklärt.
6. Vor dem Absenden kann der Nutzer alle kaufrelevanten Daten prüfen; ein erneutes Absenden erzeugt keine Doppelbestellung.",Highest,KAN-3
KAN-45,Story,E3-12 Formularfehler verstehen,"Als Kunde möchte ich verständliche Hinweise bei fehlenden oder fehlerhaften Angaben erhalten.

Akzeptanzkriterien
1. Der Warenkorb beziehungsweise Checkout hält Mengen, Preise und Verfügbarkeit über alle relevanten Schritte konsistent.
2. Jede Änderung aktualisiert Zwischensummen, Versandkosten und Gesamtbetrag nachvollziehbar.
3. Nicht verfügbare oder zwischenzeitlich geänderte Artikel werden vor dem Kauf erkannt und sicher behandelt.
4. Gast- und Kundenkonto-Flows verwenden dieselben fachlichen Preis-, Bestands- und Validierungsregeln.
5. Adress-, Versand- und Formulareingaben werden feldgenau validiert und verständlich erklärt.
6. Vor dem Absenden kann der Nutzer alle kaufrelevanten Daten prüfen; ein erneutes Absenden erzeugt keine Doppelbestellung.",Highest,KAN-3
KAN-46,Story,E4-01 Mit PayPal bezahlen,"Als Kunde möchte ich per PayPal bezahlen.

Akzeptanzkriterien
1. Der Zahlbetrag wird vor der Zahlung aus den serverseitig ermittelten Bestelldaten gebildet und korrekt an den Zahlungsdienst übergeben.
2. Reservierung, Zahlung, Bestellung und Freigabe folgen einer nachvollziehbaren Zustandsmaschine.
3. Fehlgeschlagene, abgebrochene und doppelt zugestellte Zahlungsereignisse sind idempotent und erzeugen keinen falschen Bestand oder Umsatz.
4. Administrative Folgeaktionen sind berechtigt, protokolliert und für Support und Versand nachvollziehbar.
5. Kunde und Betreiber erhalten bei relevanten Statusänderungen klare, konsistente Informationen.
6. Erstattungen und Stornierungen berücksichtigen Bestand, Zahlungsstatus und bereits ausgeführte Folgeaktionen.",Highest,KAN-4
KAN-47,Story,E4-02 Zahlbetrag vor Zahlung prüfen,"Als Kunde möchte ich vor der Zahlung den korrekten Zahlbetrag sehen.

Akzeptanzkriterien
1. Der Zahlbetrag wird vor der Zahlung aus den serverseitig ermittelten Bestelldaten gebildet und korrekt an den Zahlungsdienst übergeben.
2. Reservierung, Zahlung, Bestellung und Freigabe folgen einer nachvollziehbaren Zustandsmaschine.
3. Fehlgeschlagene, abgebrochene und doppelt zugestellte Zahlungsereignisse sind idempotent und erzeugen keinen falschen Bestand oder Umsatz.
4. Administrative Folgeaktionen sind berechtigt, protokolliert und für Support und Versand nachvollziehbar.
5. Kunde und Betreiber erhalten bei relevanten Statusänderungen klare, konsistente Informationen.
6. Erstattungen und Stornierungen berücksichtigen Bestand, Zahlungsstatus und bereits ausgeführte Folgeaktionen.",Highest,KAN-4
KAN-48,Story,E4-03 Fehlgeschlagene Zahlung verstehen,"Als Kunde möchte ich eine verständliche Meldung bei einer fehlgeschlagenen Zahlung erhalten.

Akzeptanzkriterien
1. Der Zahlbetrag wird vor der Zahlung aus den serverseitig ermittelten Bestelldaten gebildet und korrekt an den Zahlungsdienst übergeben.
2. Reservierung, Zahlung, Bestellung und Freigabe folgen einer nachvollziehbaren Zustandsmaschine.
3. Fehlgeschlagene, abgebrochene und doppelt zugestellte Zahlungsereignisse sind idempotent und erzeugen keinen falschen Bestand oder Umsatz.
4. Administrative Folgeaktionen sind berechtigt, protokolliert und für Support und Versand nachvollziehbar.
5. Kunde und Betreiber erhalten bei relevanten Statusänderungen klare, konsistente Informationen.
6. Erstattungen und Stornierungen berücksichtigen Bestand, Zahlungsstatus und bereits ausgeführte Folgeaktionen.",Highest,KAN-4
KAN-49,Story,E4-04 Bestand reservieren,"Als Shop möchte ich Bestand während des Bezahlvorgangs reservieren.

Akzeptanzkriterien
1. Der Zahlbetrag wird vor der Zahlung aus den serverseitig ermittelten Bestelldaten gebildet und korrekt an den Zahlungsdienst übergeben.
2. Reservierung, Zahlung, Bestellung und Freigabe folgen einer nachvollziehbaren Zustandsmaschine.
3. Fehlgeschlagene, abgebrochene und doppelt zugestellte Zahlungsereignisse sind idempotent und erzeugen keinen falschen Bestand oder Umsatz.
4. Administrative Folgeaktionen sind berechtigt, protokolliert und für Support und Versand nachvollziehbar.
5. Kunde und Betreiber erhalten bei relevanten Statusänderungen klare, konsistente Informationen.
6. Erstattungen und Stornierungen berücksichtigen Bestand, Zahlungsstatus und bereits ausgeführte Folgeaktionen.",Highest,KAN-4
KAN-50,Story,E4-05 Reservierungen freigeben,"Als Shop möchte ich abgelaufene oder abgebrochene Reservierungen freigeben.

Akzeptanzkriterien
1. Der Zahlbetrag wird vor der Zahlung aus den serverseitig ermittelten Bestelldaten gebildet und korrekt an den Zahlungsdienst übergeben.
2. Reservierung, Zahlung, Bestellung und Freigabe folgen einer nachvollziehbaren Zustandsmaschine.
3. Fehlgeschlagene, abgebrochene und doppelt zugestellte Zahlungsereignisse sind idempotent und erzeugen keinen falschen Bestand oder Umsatz.
4. Administrative Folgeaktionen sind berechtigt, protokolliert und für Support und Versand nachvollziehbar.
5. Kunde und Betreiber erhalten bei relevanten Statusänderungen klare, konsistente Informationen.
6. Erstattungen und Stornierungen berücksichtigen Bestand, Zahlungsstatus und bereits ausgeführte Folgeaktionen.",Highest,KAN-4
KAN-51,Story,E4-06 Zahlung verifizieren,"Als Shop möchte ich erfolgreiche Zahlungen sicher verifizieren.

Akzeptanzkriterien
1. Der Zahlbetrag wird vor der Zahlung aus den serverseitig ermittelten Bestelldaten gebildet und korrekt an den Zahlungsdienst übergeben.
2. Reservierung, Zahlung, Bestellung und Freigabe folgen einer nachvollziehbaren Zustandsmaschine.
3. Fehlgeschlagene, abgebrochene und doppelt zugestellte Zahlungsereignisse sind idempotent und erzeugen keinen falschen Bestand oder Umsatz.
4. Administrative Folgeaktionen sind berechtigt, protokolliert und für Support und Versand nachvollziehbar.
5. Kunde und Betreiber erhalten bei relevanten Statusänderungen klare, konsistente Informationen.
6. Erstattungen und Stornierungen berücksichtigen Bestand, Zahlungsstatus und bereits ausgeführte Folgeaktionen.",Highest,KAN-4
KAN-52,Story,E4-07 Bestellstatus aktualisieren,"Als Shop möchte ich Bestellungen automatisch mit korrekten Statuswerten versehen.

Akzeptanzkriterien
1. Der Zahlbetrag wird vor der Zahlung aus den serverseitig ermittelten Bestelldaten gebildet und korrekt an den Zahlungsdienst übergeben.
2. Reservierung, Zahlung, Bestellung und Freigabe folgen einer nachvollziehbaren Zustandsmaschine.
3. Fehlgeschlagene, abgebrochene und doppelt zugestellte Zahlungsereignisse sind idempotent und erzeugen keinen falschen Bestand oder Umsatz.
4. Administrative Folgeaktionen sind berechtigt, protokolliert und für Support und Versand nachvollziehbar.
5. Kunde und Betreiber erhalten bei relevanten Statusänderungen klare, konsistente Informationen.
6. Erstattungen und Stornierungen berücksichtigen Bestand, Zahlungsstatus und bereits ausgeführte Folgeaktionen.",Highest,KAN-4
KAN-53,Story,E4-08 Doppelte Zahlungsbestätigungen verhindern,"Als Shop möchte ich doppelte Zahlungsbestätigungen vermeiden.

Akzeptanzkriterien
1. Der Zahlbetrag wird vor der Zahlung aus den serverseitig ermittelten Bestelldaten gebildet und korrekt an den Zahlungsdienst übergeben.
2. Reservierung, Zahlung, Bestellung und Freigabe folgen einer nachvollziehbaren Zustandsmaschine.
3. Fehlgeschlagene, abgebrochene und doppelt zugestellte Zahlungsereignisse sind idempotent und erzeugen keinen falschen Bestand oder Umsatz.
4. Administrative Folgeaktionen sind berechtigt, protokolliert und für Support und Versand nachvollziehbar.
5. Kunde und Betreiber erhalten bei relevanten Statusänderungen klare, konsistente Informationen.
6. Erstattungen und Stornierungen berücksichtigen Bestand, Zahlungsstatus und bereits ausgeführte Folgeaktionen.",Highest,KAN-4
KAN-54,Story,E4-09 Bestellungen administrieren,"Als Admin möchte ich alle Bestellungen übersichtlich sehen.

Akzeptanzkriterien
1. Der Zahlbetrag wird vor der Zahlung aus den serverseitig ermittelten Bestelldaten gebildet und korrekt an den Zahlungsdienst übergeben.
2. Reservierung, Zahlung, Bestellung und Freigabe folgen einer nachvollziehbaren Zustandsmaschine.
3. Fehlgeschlagene, abgebrochene und doppelt zugestellte Zahlungsereignisse sind idempotent und erzeugen keinen falschen Bestand oder Umsatz.
4. Administrative Folgeaktionen sind berechtigt, protokolliert und für Support und Versand nachvollziehbar.
5. Kunde und Betreiber erhalten bei relevanten Statusänderungen klare, konsistente Informationen.
6. Erstattungen und Stornierungen berücksichtigen Bestand, Zahlungsstatus und bereits ausgeführte Folgeaktionen.",Highest,KAN-4
KAN-55,Story,E4-10 Bestellung für Versand vorbereiten,"Als Admin möchte ich Bestellungen bearbeiten und für den Versand vorbereiten.

Akzeptanzkriterien
1. Der Zahlbetrag wird vor der Zahlung aus den serverseitig ermittelten Bestelldaten gebildet und korrekt an den Zahlungsdienst übergeben.
2. Reservierung, Zahlung, Bestellung und Freigabe folgen einer nachvollziehbaren Zustandsmaschine.
3. Fehlgeschlagene, abgebrochene und doppelt zugestellte Zahlungsereignisse sind idempotent und erzeugen keinen falschen Bestand oder Umsatz.
4. Administrative Folgeaktionen sind berechtigt, protokolliert und für Support und Versand nachvollziehbar.
5. Kunde und Betreiber erhalten bei relevanten Statusänderungen klare, konsistente Informationen.
6. Erstattungen und Stornierungen berücksichtigen Bestand, Zahlungsstatus und bereits ausgeführte Folgeaktionen.",Highest,KAN-4
KAN-56,Story,E4-11 Sendungsnummer anzeigen,"Als Kunde möchte ich eine Sendungsnummer hinterlegen und sehen können.

Akzeptanzkriterien
1. Der Zahlbetrag wird vor der Zahlung aus den serverseitig ermittelten Bestelldaten gebildet und korrekt an den Zahlungsdienst übergeben.
2. Reservierung, Zahlung, Bestellung und Freigabe folgen einer nachvollziehbaren Zustandsmaschine.
3. Fehlgeschlagene, abgebrochene und doppelt zugestellte Zahlungsereignisse sind idempotent und erzeugen keinen falschen Bestand oder Umsatz.
4. Administrative Folgeaktionen sind berechtigt, protokolliert und für Support und Versand nachvollziehbar.
5. Kunde und Betreiber erhalten bei relevanten Statusänderungen klare, konsistente Informationen.
6. Erstattungen und Stornierungen berücksichtigen Bestand, Zahlungsstatus und bereits ausgeführte Folgeaktionen.",High,KAN-4
KAN-57,Story,E4-12 Bestellung stornieren oder erstatten,"Als Kunde möchte ich Bestellungen stornieren oder eine Rückerstattung anfragen können.

Akzeptanzkriterien
1. Der Zahlbetrag wird vor der Zahlung aus den serverseitig ermittelten Bestelldaten gebildet und korrekt an den Zahlungsdienst übergeben.
2. Reservierung, Zahlung, Bestellung und Freigabe folgen einer nachvollziehbaren Zustandsmaschine.
3. Fehlgeschlagene, abgebrochene und doppelt zugestellte Zahlungsereignisse sind idempotent und erzeugen keinen falschen Bestand oder Umsatz.
4. Administrative Folgeaktionen sind berechtigt, protokolliert und für Support und Versand nachvollziehbar.
5. Kunde und Betreiber erhalten bei relevanten Statusänderungen klare, konsistente Informationen.
6. Erstattungen und Stornierungen berücksichtigen Bestand, Zahlungsstatus und bereits ausgeführte Folgeaktionen.",Medium,KAN-4
KAN-58,Story,E5-01 Kundenkonto registrieren,"Als Besucher möchte ich ein Kundenkonto registrieren.

Akzeptanzkriterien
1. Registrierung, Anmeldung, Abmeldung und Passwortwiederherstellung behandeln Authentifizierung und Fehlversuche sicher.
2. Bestätigte Kontodaten werden korrekt gespeichert; unbestätigte oder abgelaufene Nachweise werden verständlich behandelt.
3. Persönliche Daten und Bestellhistorie sind ausschließlich für das berechtigte Konto sichtbar.
4. Adressen und Kontodaten werden vor dem Speichern validiert und bei Änderungen konsistent verwendet.
5. Datenschutzrelevante Aktionen wie Löschung oder Export sind nachvollziehbar, vollständig und gegen Fehlbedienung geschützt.
6. Die Oberfläche ist responsiv, tastaturbedienbar und liefert klare Zustände für Laden, Erfolg und Fehler.",High,KAN-5
KAN-59,Story,E5-02 E-Mail-Adresse bestätigen,"Als Kunde möchte ich meine E-Mail-Adresse bestätigen.

Akzeptanzkriterien
1. Registrierung, Anmeldung, Abmeldung und Passwortwiederherstellung behandeln Authentifizierung und Fehlversuche sicher.
2. Bestätigte Kontodaten werden korrekt gespeichert; unbestätigte oder abgelaufene Nachweise werden verständlich behandelt.
3. Persönliche Daten und Bestellhistorie sind ausschließlich für das berechtigte Konto sichtbar.
4. Adressen und Kontodaten werden vor dem Speichern validiert und bei Änderungen konsistent verwendet.
5. Datenschutzrelevante Aktionen wie Löschung oder Export sind nachvollziehbar, vollständig und gegen Fehlbedienung geschützt.
6. Die Oberfläche ist responsiv, tastaturbedienbar und liefert klare Zustände für Laden, Erfolg und Fehler.",High,KAN-5
KAN-60,Story,E5-03 Ein- und ausloggen,"Als Kunde möchte ich mich ein- und ausloggen können.

Akzeptanzkriterien
1. Registrierung, Anmeldung, Abmeldung und Passwortwiederherstellung behandeln Authentifizierung und Fehlversuche sicher.
2. Bestätigte Kontodaten werden korrekt gespeichert; unbestätigte oder abgelaufene Nachweise werden verständlich behandelt.
3. Persönliche Daten und Bestellhistorie sind ausschließlich für das berechtigte Konto sichtbar.
4. Adressen und Kontodaten werden vor dem Speichern validiert und bei Änderungen konsistent verwendet.
5. Datenschutzrelevante Aktionen wie Löschung oder Export sind nachvollziehbar, vollständig und gegen Fehlbedienung geschützt.
6. Die Oberfläche ist responsiv, tastaturbedienbar und liefert klare Zustände für Laden, Erfolg und Fehler.",High,KAN-5
KAN-61,Story,E5-04 Passwort zurücksetzen,"Als Kunde möchte ich mein Passwort zurücksetzen können.

Akzeptanzkriterien
1. Registrierung, Anmeldung, Abmeldung und Passwortwiederherstellung behandeln Authentifizierung und Fehlversuche sicher.
2. Bestätigte Kontodaten werden korrekt gespeichert; unbestätigte oder abgelaufene Nachweise werden verständlich behandelt.
3. Persönliche Daten und Bestellhistorie sind ausschließlich für das berechtigte Konto sichtbar.
4. Adressen und Kontodaten werden vor dem Speichern validiert und bei Änderungen konsistent verwendet.
5. Datenschutzrelevante Aktionen wie Löschung oder Export sind nachvollziehbar, vollständig und gegen Fehlbedienung geschützt.
6. Die Oberfläche ist responsiv, tastaturbedienbar und liefert klare Zustände für Laden, Erfolg und Fehler.",High,KAN-5
KAN-62,Story,E5-05 Persönliche Daten bearbeiten,"Als Kunde möchte ich meine persönlichen Daten bearbeiten.

Akzeptanzkriterien
1. Registrierung, Anmeldung, Abmeldung und Passwortwiederherstellung behandeln Authentifizierung und Fehlversuche sicher.
2. Bestätigte Kontodaten werden korrekt gespeichert; unbestätigte oder abgelaufene Nachweise werden verständlich behandelt.
3. Persönliche Daten und Bestellhistorie sind ausschließlich für das berechtigte Konto sichtbar.
4. Adressen und Kontodaten werden vor dem Speichern validiert und bei Änderungen konsistent verwendet.
5. Datenschutzrelevante Aktionen wie Löschung oder Export sind nachvollziehbar, vollständig und gegen Fehlbedienung geschützt.
6. Die Oberfläche ist responsiv, tastaturbedienbar und liefert klare Zustände für Laden, Erfolg und Fehler.",High,KAN-5
KAN-63,Story,E5-06 Lieferadressen verwalten,"Als Kunde möchte ich mehrere Lieferadressen verwalten.

Akzeptanzkriterien
1. Registrierung, Anmeldung, Abmeldung und Passwortwiederherstellung behandeln Authentifizierung und Fehlversuche sicher.
2. Bestätigte Kontodaten werden korrekt gespeichert; unbestätigte oder abgelaufene Nachweise werden verständlich behandelt.
3. Persönliche Daten und Bestellhistorie sind ausschließlich für das berechtigte Konto sichtbar.
4. Adressen und Kontodaten werden vor dem Speichern validiert und bei Änderungen konsistent verwendet.
5. Datenschutzrelevante Aktionen wie Löschung oder Export sind nachvollziehbar, vollständig und gegen Fehlbedienung geschützt.
6. Die Oberfläche ist responsiv, tastaturbedienbar und liefert klare Zustände für Laden, Erfolg und Fehler.",High,KAN-5
KAN-64,Story,E5-07 Bestellhistorie einsehen,"Als Kunde möchte ich meine Bestellhistorie einsehen.

Akzeptanzkriterien
1. Registrierung, Anmeldung, Abmeldung und Passwortwiederherstellung behandeln Authentifizierung und Fehlversuche sicher.
2. Bestätigte Kontodaten werden korrekt gespeichert; unbestätigte oder abgelaufene Nachweise werden verständlich behandelt.
3. Persönliche Daten und Bestellhistorie sind ausschließlich für das berechtigte Konto sichtbar.
4. Adressen und Kontodaten werden vor dem Speichern validiert und bei Änderungen konsistent verwendet.
5. Datenschutzrelevante Aktionen wie Löschung oder Export sind nachvollziehbar, vollständig und gegen Fehlbedienung geschützt.
6. Die Oberfläche ist responsiv, tastaturbedienbar und liefert klare Zustände für Laden, Erfolg und Fehler.",High,KAN-5
KAN-65,Story,E5-08 Bestellstatus verfolgen,"Als Kunde möchte ich Details und Status einer Bestellung sehen.

Akzeptanzkriterien
1. Registrierung, Anmeldung, Abmeldung und Passwortwiederherstellung behandeln Authentifizierung und Fehlversuche sicher.
2. Bestätigte Kontodaten werden korrekt gespeichert; unbestätigte oder abgelaufene Nachweise werden verständlich behandelt.
3. Persönliche Daten und Bestellhistorie sind ausschließlich für das berechtigte Konto sichtbar.
4. Adressen und Kontodaten werden vor dem Speichern validiert und bei Änderungen konsistent verwendet.
5. Datenschutzrelevante Aktionen wie Löschung oder Export sind nachvollziehbar, vollständig und gegen Fehlbedienung geschützt.
6. Die Oberfläche ist responsiv, tastaturbedienbar und liefert klare Zustände für Laden, Erfolg und Fehler.",High,KAN-5
KAN-66,Story,E5-09 Bestellung erneut zusammenstellen,"Als Kunde möchte ich eine frühere Bestellung erneut zusammenstellen können.

Akzeptanzkriterien
1. Registrierung, Anmeldung, Abmeldung und Passwortwiederherstellung behandeln Authentifizierung und Fehlversuche sicher.
2. Bestätigte Kontodaten werden korrekt gespeichert; unbestätigte oder abgelaufene Nachweise werden verständlich behandelt.
3. Persönliche Daten und Bestellhistorie sind ausschließlich für das berechtigte Konto sichtbar.
4. Adressen und Kontodaten werden vor dem Speichern validiert und bei Änderungen konsistent verwendet.
5. Datenschutzrelevante Aktionen wie Löschung oder Export sind nachvollziehbar, vollständig und gegen Fehlbedienung geschützt.
6. Die Oberfläche ist responsiv, tastaturbedienbar und liefert klare Zustände für Laden, Erfolg und Fehler.",Medium,KAN-5
KAN-67,Story,E5-10 Konto löschen oder Daten exportieren,"Als Kunde möchte ich meine Daten exportieren oder mein Konto löschen können.

Akzeptanzkriterien
1. Registrierung, Anmeldung, Abmeldung und Passwortwiederherstellung behandeln Authentifizierung und Fehlversuche sicher.
2. Bestätigte Kontodaten werden korrekt gespeichert; unbestätigte oder abgelaufene Nachweise werden verständlich behandelt.
3. Persönliche Daten und Bestellhistorie sind ausschließlich für das berechtigte Konto sichtbar.
4. Adressen und Kontodaten werden vor dem Speichern validiert und bei Änderungen konsistent verwendet.
5. Datenschutzrelevante Aktionen wie Löschung oder Export sind nachvollziehbar, vollständig und gegen Fehlbedienung geschützt.
6. Die Oberfläche ist responsiv, tastaturbedienbar und liefert klare Zustände für Laden, Erfolg und Fehler.",Medium,KAN-5
KAN-68,Story,E6-01 Einzelne Karte anbieten,"Als Verkäufer möchte ich eine einzelne Karte zum Verkauf anbieten.

Akzeptanzkriterien
1. Verkäuferdaten, Bilder, Zustandsangaben und Preiswünsche werden vollständig und validiert erfasst.
2. Ein Angebot besitzt einen eindeutigen, nachvollziehbaren Status und kann nicht unbemerkt in einen widersprüchlichen Zustand wechseln.
3. Berechtigungen verhindern Zugriff auf fremde Angebote und schützen sensible Auszahlungs- und Kontodaten.
4. Annahme, Ablehnung, Rückfragen und Übergabe erzeugen klare Status- und Benachrichtigungsinformationen.
5. Fehler bei Upload, Speicherung oder Statuswechseln sind wiederholbar und hinterlassen keine halbfertigen Angebote.
6. Die Funktion ist für Desktop und Smartphone verständlich und enthält Hinweise zu nächsten Schritten und Verantwortlichkeiten.",Lowest,KAN-6
KAN-69,Story,E6-02 Sammlung anbieten,"Als Verkäufer möchte ich eine komplette Sammlung anbieten.

Akzeptanzkriterien
1. Verkäuferdaten, Bilder, Zustandsangaben und Preiswünsche werden vollständig und validiert erfasst.
2. Ein Angebot besitzt einen eindeutigen, nachvollziehbaren Status und kann nicht unbemerkt in einen widersprüchlichen Zustand wechseln.
3. Berechtigungen verhindern Zugriff auf fremde Angebote und schützen sensible Auszahlungs- und Kontodaten.
4. Annahme, Ablehnung, Rückfragen und Übergabe erzeugen klare Status- und Benachrichtigungsinformationen.
5. Fehler bei Upload, Speicherung oder Statuswechseln sind wiederholbar und hinterlassen keine halbfertigen Angebote.
6. Die Funktion ist für Desktop und Smartphone verständlich und enthält Hinweise zu nächsten Schritten und Verantwortlichkeiten.",Lowest,KAN-6
KAN-70,Story,E6-03 Verkaufsbilder hochladen,"Als Verkäufer möchte ich Bilder meiner Karten hochladen.

Akzeptanzkriterien
1. Verkäuferdaten, Bilder, Zustandsangaben und Preiswünsche werden vollständig und validiert erfasst.
2. Ein Angebot besitzt einen eindeutigen, nachvollziehbaren Status und kann nicht unbemerkt in einen widersprüchlichen Zustand wechseln.
3. Berechtigungen verhindern Zugriff auf fremde Angebote und schützen sensible Auszahlungs- und Kontodaten.
4. Annahme, Ablehnung, Rückfragen und Übergabe erzeugen klare Status- und Benachrichtigungsinformationen.
5. Fehler bei Upload, Speicherung oder Statuswechseln sind wiederholbar und hinterlassen keine halbfertigen Angebote.
6. Die Funktion ist für Desktop und Smartphone verständlich und enthält Hinweise zu nächsten Schritten und Verantwortlichkeiten.",Lowest,KAN-6
KAN-71,Story,E6-04 Verkaufsdaten erfassen,"Als Verkäufer möchte ich Kartendaten selbst erfassen.

Akzeptanzkriterien
1. Verkäuferdaten, Bilder, Zustandsangaben und Preiswünsche werden vollständig und validiert erfasst.
2. Ein Angebot besitzt einen eindeutigen, nachvollziehbaren Status und kann nicht unbemerkt in einen widersprüchlichen Zustand wechseln.
3. Berechtigungen verhindern Zugriff auf fremde Angebote und schützen sensible Auszahlungs- und Kontodaten.
4. Annahme, Ablehnung, Rückfragen und Übergabe erzeugen klare Status- und Benachrichtigungsinformationen.
5. Fehler bei Upload, Speicherung oder Statuswechseln sind wiederholbar und hinterlassen keine halbfertigen Angebote.
6. Die Funktion ist für Desktop und Smartphone verständlich und enthält Hinweise zu nächsten Schritten und Verantwortlichkeiten.",Lowest,KAN-6
KAN-72,Story,E6-05 Verkaufszustand angeben,"Als Verkäufer möchte ich Zustand und Grading angeben.

Akzeptanzkriterien
1. Verkäuferdaten, Bilder, Zustandsangaben und Preiswünsche werden vollständig und validiert erfasst.
2. Ein Angebot besitzt einen eindeutigen, nachvollziehbaren Status und kann nicht unbemerkt in einen widersprüchlichen Zustand wechseln.
3. Berechtigungen verhindern Zugriff auf fremde Angebote und schützen sensible Auszahlungs- und Kontodaten.
4. Annahme, Ablehnung, Rückfragen und Übergabe erzeugen klare Status- und Benachrichtigungsinformationen.
5. Fehler bei Upload, Speicherung oder Statuswechseln sind wiederholbar und hinterlassen keine halbfertigen Angebote.
6. Die Funktion ist für Desktop und Smartphone verständlich und enthält Hinweise zu nächsten Schritten und Verantwortlichkeiten.",Lowest,KAN-6
KAN-73,Story,E6-06 Preiswunsch angeben,"Als Verkäufer möchte ich meinen Preiswunsch angeben.

Akzeptanzkriterien
1. Verkäuferdaten, Bilder, Zustandsangaben und Preiswünsche werden vollständig und validiert erfasst.
2. Ein Angebot besitzt einen eindeutigen, nachvollziehbaren Status und kann nicht unbemerkt in einen widersprüchlichen Zustand wechseln.
3. Berechtigungen verhindern Zugriff auf fremde Angebote und schützen sensible Auszahlungs- und Kontodaten.
4. Annahme, Ablehnung, Rückfragen und Übergabe erzeugen klare Status- und Benachrichtigungsinformationen.
5. Fehler bei Upload, Speicherung oder Statuswechseln sind wiederholbar und hinterlassen keine halbfertigen Angebote.
6. Die Funktion ist für Desktop und Smartphone verständlich und enthält Hinweise zu nächsten Schritten und Verantwortlichkeiten.",Lowest,KAN-6
KAN-74,Story,E6-07 Verkaufsangebot speichern,"Als Verkäufer möchte ich ein Verkaufsangebot als Entwurf speichern.

Akzeptanzkriterien
1. Verkäuferdaten, Bilder, Zustandsangaben und Preiswünsche werden vollständig und validiert erfasst.
2. Ein Angebot besitzt einen eindeutigen, nachvollziehbaren Status und kann nicht unbemerkt in einen widersprüchlichen Zustand wechseln.
3. Berechtigungen verhindern Zugriff auf fremde Angebote und schützen sensible Auszahlungs- und Kontodaten.
4. Annahme, Ablehnung, Rückfragen und Übergabe erzeugen klare Status- und Benachrichtigungsinformationen.
5. Fehler bei Upload, Speicherung oder Statuswechseln sind wiederholbar und hinterlassen keine halbfertigen Angebote.
6. Die Funktion ist für Desktop und Smartphone verständlich und enthält Hinweise zu nächsten Schritten und Verantwortlichkeiten.",Lowest,KAN-6
KAN-75,Story,E6-08 Angebotsstatus verfolgen,"Als Verkäufer möchte ich den Status meines Angebots verfolgen.

Akzeptanzkriterien
1. Verkäuferdaten, Bilder, Zustandsangaben und Preiswünsche werden vollständig und validiert erfasst.
2. Ein Angebot besitzt einen eindeutigen, nachvollziehbaren Status und kann nicht unbemerkt in einen widersprüchlichen Zustand wechseln.
3. Berechtigungen verhindern Zugriff auf fremde Angebote und schützen sensible Auszahlungs- und Kontodaten.
4. Annahme, Ablehnung, Rückfragen und Übergabe erzeugen klare Status- und Benachrichtigungsinformationen.
5. Fehler bei Upload, Speicherung oder Statuswechseln sind wiederholbar und hinterlassen keine halbfertigen Angebote.
6. Die Funktion ist für Desktop und Smartphone verständlich und enthält Hinweise zu nächsten Schritten und Verantwortlichkeiten.",Lowest,KAN-6
KAN-76,Story,E6-09 Verkaufsangebote prüfen,"Als Admin möchte ich Verkaufsangebote prüfen.

Akzeptanzkriterien
1. Verkäuferdaten, Bilder, Zustandsangaben und Preiswünsche werden vollständig und validiert erfasst.
2. Ein Angebot besitzt einen eindeutigen, nachvollziehbaren Status und kann nicht unbemerkt in einen widersprüchlichen Zustand wechseln.
3. Berechtigungen verhindern Zugriff auf fremde Angebote und schützen sensible Auszahlungs- und Kontodaten.
4. Annahme, Ablehnung, Rückfragen und Übergabe erzeugen klare Status- und Benachrichtigungsinformationen.
5. Fehler bei Upload, Speicherung oder Statuswechseln sind wiederholbar und hinterlassen keine halbfertigen Angebote.
6. Die Funktion ist für Desktop und Smartphone verständlich und enthält Hinweise zu nächsten Schritten und Verantwortlichkeiten.",Lowest,KAN-6
KAN-77,Story,E6-10 Angebot unterbreiten,"Als Admin möchte ich dem Verkäufer ein Angebot unterbreiten.

Akzeptanzkriterien
1. Verkäuferdaten, Bilder, Zustandsangaben und Preiswünsche werden vollständig und validiert erfasst.
2. Ein Angebot besitzt einen eindeutigen, nachvollziehbaren Status und kann nicht unbemerkt in einen widersprüchlichen Zustand wechseln.
3. Berechtigungen verhindern Zugriff auf fremde Angebote und schützen sensible Auszahlungs- und Kontodaten.
4. Annahme, Ablehnung, Rückfragen und Übergabe erzeugen klare Status- und Benachrichtigungsinformationen.
5. Fehler bei Upload, Speicherung oder Statuswechseln sind wiederholbar und hinterlassen keine halbfertigen Angebote.
6. Die Funktion ist für Desktop und Smartphone verständlich und enthält Hinweise zu nächsten Schritten und Verantwortlichkeiten.",Lowest,KAN-6
